,Unnamed: 0,GEOID,NAME,hhincomeE,hhincomeM,medageE,medageM,poppovertyE,poppovertyM,totalpopE,totalpopM,popwhiteE,popwhiteM,popblackE,popblackM,popaknaE,popaknaM,popasianE,popasianM,pophipiE,pophipiM,popotherE,popotherM,pop2ormoreE,pop2ormoreM,pctwhite,pctblack,pctakna,pctasian,pcthipi,pctother,pct2ormore,pctpoverty
36,37,6073,"San Diego County, California",66529,460,35.3,0.1,121975,3543,3253356,,2310046,7475,163928,1844,21577,1704,376393,2496,14918,711,207129,5880,159365,4746,0.7100501758799221,0.050387353858600166,0.006632228382015371,0.11569376360902403,0.004585418872081629,0.0636662572432897,0.04898480215506695,0.037492054358637665
37,38,6075,"San Francisco County, California",87701,1447,38.4,0.2,11899,1073,850282,,409355,2348,45607,951,2922,511,287847,1692,3168,328,59686,2664,41697,1799,0.4814343947066973,0.05363749908853768,0.00343650694710696,0.3385312167022235,0.0037258227270482026,0.07019553512834566,0.04903902470004069,0.0139941807541498
38,39,6077,"San Joaquin County, California",55045,896,33.7,0.2,44154,2057,714860,,403016,3989,49874,1053,4508,653,106511,1383,3995,270,83247,3717,63709,3024,0.5637691296197856,0.06976750692443276,0.006306129871583247,0.14899560753154464,0.005588506840500238,0.1164521724533475,0.08912094675880591,0.06176594018409199
39,40,6079,"San Luis Obispo County, California",64014,1807,39.0,0.3,6368,905,278680,,238145,1680,5516,446,1950,440,10375,432,256,135,13169,1552,9269,819,0.8545464331850151,0.019793311324816994,0.006997272857758002,0.03722907994832783,0.0009186163341466916,0.047254916032725705,0.0332603703172097,0.022850581311898953
40,41,6081,"San Mateo County, California",98546,1232,39.5,0.2,14402,1259,754748,,404461,3153,18533,635,2440,467,203926,1383,10615,388,76854,3129,37919,1650,0.5358887999703212,0.024555215780631415,0.0032328671291609913,0.27019084515626407,0.01406429695739505,0.10182736489530281,0.05024061011092444,0.01908186573531828
41,42,6083,"Santa Barbara County, California",65161,1202,33.7,0.1,18019,1495,439395,,325664,3393,8878,652,4162,671,23342,630,768,205,57857,3262,18724,1163,0.7411645558096929,0.020205054677454228,0.009472115067308459,0.05312304418575541,0.0017478578499982931,0.13167423388978028,0.04261313852001047,0.04100865963426985
42,43,6085,"Santa Clara County, California",101173,661,36.8,0.1,42123,2452,1885056,,883775,5198,48003,1016,8742,903,648047,1904,7810,538,198893,5351,89786,2883,0.46883222567393223,0.025465025972703198,0.004637528009777959,0.34378129880491615,0.004143112989746724,0.10551039332518504,0.04763041522373871,0.02234575524546751
43,44,6087,"Santa Cruz County, California",70088,1935,37.0,0.2,8646,1177,270931,,214929,2526,2374,281,1595,507,12169,487,322,150,27342,2516,12200,979,0.7932979245638189,0.008762378613004787,0.005887107787591675,0.044915495089155544,0.0011884944875263444,0.10091868409299785,0.04502991536590497,0.03191218428308314
44,45,6089,"Shasta County, California",45582,963,42.3,0.3,8691,746,179228,,155944,754,1759,240,4329,505,5273,292,71,54,3698,663,8154,752,0.870087263150847,0.009814314727609526,0.024153592072667217,0.02942062624143549,0.00039614345972727475,0.020632936817907916,0.04549512352980561,0.048491307161827396
45,46,6091,"Sierra County, California",43984,11767,55.2,1.5,60,49,2931,191.0,2809,180,2,3,33,30,1,3,14,19,14,20,58,46,0.9583759808938929,0.000682360968952576,0.011258955987717503,0.000341180484476288,0.004776526782668032,0.004776526782668032,0.0197884680996247,0.02047082906857728
